"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Slovenia","Slovenia",0,"2015-06-15","2015-06-21",7,2015,25,2119843,323,0,"TBC"
"Slovenia","Slovenia",0,"2015-06-22","2015-06-28",7,2015,26,2119843,310,0,"TBC"
"Slovenia","Slovenia",0,"2015-06-29","2015-07-05",7,2015,27,2119843,384,0,"TBC"
"Slovenia","Slovenia",0,"2015-07-06","2015-07-12",7,2015,28,2119843,377,0,"TBC"
"Slovenia","Slovenia",0,"2015-07-13","2015-07-19",7,2015,29,2119843,381,0,"TBC"
"Slovenia","Slovenia",0,"2015-07-20","2015-07-26",7,2015,30,2119843,393,0,"TBC"
"Slovenia","Slovenia",0,"2015-07-27","2015-08-02",7,2015,31,2119843,332,0,"TBC"
"Slovenia","Slovenia",0,"2015-08-03","2015-08-09",7,2015,32,2119843,333,0,"TBC"
"Slovenia","Slovenia",0,"2015-08-10","2015-08-16",7,2015,33,2119843,373,0,"TBC"
"Slovenia","Slovenia",0,"2015-08-17","2015-08-23",7,2015,34,2119843,337,0,"TBC"
"Slovenia","Slovenia",0,"2015-08-24","2015-08-30",7,2015,35,2119843,337,0,"TBC"
"Slovenia","Slovenia",0,"2015-08-31","2015-09-06",7,2015,36,2119843,315,0,"TBC"
"Slovenia","Slovenia",0,"2015-09-07","2015-09-13",7,2015,37,2119843,309,0,"TBC"
"Slovenia","Slovenia",0,"2015-09-14","2015-09-20",7,2015,38,2119843,360,0,"TBC"
"Slovenia","Slovenia",0,"2015-09-21","2015-09-27",7,2015,39,2119843,315,0,"TBC"
"Slovenia","Slovenia",0,"2015-09-28","2015-10-04",7,2015,40,2119843,341,0,"TBC"
"Slovenia","Slovenia",0,"2015-10-05","2015-10-11",7,2015,41,2119843,391,0,"TBC"
"Slovenia","Slovenia",0,"2015-10-12","2015-10-18",7,2015,42,2119843,354,0,"TBC"
"Slovenia","Slovenia",0,"2015-10-19","2015-10-25",7,2015,43,2119843,382,0,"TBC"
"Slovenia","Slovenia",0,"2015-10-26","2015-11-01",7,2015,44,2119843,408,0,"TBC"
"Slovenia","Slovenia",0,"2015-11-02","2015-11-08",7,2015,45,2119843,379,0,"TBC"
"Slovenia","Slovenia",0,"2015-11-09","2015-11-15",7,2015,46,2119843,376,0,"TBC"
"Slovenia","Slovenia",0,"2015-11-16","2015-11-22",7,2015,47,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2015-11-23","2015-11-29",7,2015,48,2119843,378,0,"TBC"
"Slovenia","Slovenia",0,"2015-11-30","2015-12-06",7,2015,49,2119843,370,0,"TBC"
"Slovenia","Slovenia",0,"2015-12-07","2015-12-13",7,2015,50,2119843,433,0,"TBC"
"Slovenia","Slovenia",0,"2015-12-14","2015-12-20",7,2015,51,2119843,359,0,"TBC"
"Slovenia","Slovenia",0,"2015-12-21","2015-12-27",7,2015,52,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2015-12-28","2016-01-03",7,2015,53,2119843,401,0,"TBC"
"Slovenia","Slovenia",0,"2016-01-04","2016-01-10",7,2016,1,2119843,451,0,"TBC"
"Slovenia","Slovenia",0,"2016-01-11","2016-01-17",7,2016,2,2119843,439,0,"TBC"
"Slovenia","Slovenia",0,"2016-01-18","2016-01-24",7,2016,3,2119843,411,0,"TBC"
"Slovenia","Slovenia",0,"2016-01-25","2016-01-31",7,2016,4,2119843,457,0,"TBC"
"Slovenia","Slovenia",0,"2016-02-01","2016-02-07",7,2016,5,2119843,434,0,"TBC"
"Slovenia","Slovenia",0,"2016-02-08","2016-02-14",7,2016,6,2119843,426,0,"TBC"
"Slovenia","Slovenia",0,"2016-02-15","2016-02-21",7,2016,7,2119843,421,0,"TBC"
"Slovenia","Slovenia",0,"2016-02-22","2016-02-28",7,2016,8,2119843,406,0,"TBC"
"Slovenia","Slovenia",0,"2016-02-29","2016-03-06",7,2016,9,2119843,427,0,"TBC"
"Slovenia","Slovenia",0,"2016-03-07","2016-03-13",7,2016,10,2119843,416,0,"TBC"
"Slovenia","Slovenia",0,"2016-03-14","2016-03-20",7,2016,11,2119843,411,0,"TBC"
"Slovenia","Slovenia",0,"2016-03-21","2016-03-27",7,2016,12,2119843,388,0,"TBC"
"Slovenia","Slovenia",0,"2016-03-28","2016-04-03",7,2016,13,2119843,441,0,"TBC"
"Slovenia","Slovenia",0,"2016-04-04","2016-04-10",7,2016,14,2119843,373,0,"TBC"
"Slovenia","Slovenia",0,"2016-04-11","2016-04-17",7,2016,15,2119843,339,0,"TBC"
"Slovenia","Slovenia",0,"2016-04-18","2016-04-24",7,2016,16,2119843,399,0,"TBC"
"Slovenia","Slovenia",0,"2016-04-25","2016-05-01",7,2016,17,2119843,351,0,"TBC"
"Slovenia","Slovenia",0,"2016-05-02","2016-05-08",7,2016,18,2119843,367,0,"TBC"
"Slovenia","Slovenia",0,"2016-05-09","2016-05-15",7,2016,19,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2016-05-16","2016-05-22",7,2016,20,2119843,346,0,"TBC"
"Slovenia","Slovenia",0,"2016-05-23","2016-05-29",7,2016,21,2119843,355,0,"TBC"
"Slovenia","Slovenia",0,"2016-05-30","2016-06-05",7,2016,22,2119843,334,0,"TBC"
"Slovenia","Slovenia",0,"2016-06-06","2016-06-12",7,2016,23,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2016-06-13","2016-06-19",7,2016,24,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2016-06-20","2016-06-26",7,2016,25,2119843,335,0,"TBC"
"Slovenia","Slovenia",0,"2016-06-27","2016-07-03",7,2016,26,2119843,334,0,"TBC"
"Slovenia","Slovenia",0,"2016-07-04","2016-07-10",7,2016,27,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2016-07-11","2016-07-17",7,2016,28,2119843,370,0,"TBC"
"Slovenia","Slovenia",0,"2016-07-18","2016-07-24",7,2016,29,2119843,312,0,"TBC"
"Slovenia","Slovenia",0,"2016-07-25","2016-07-31",7,2016,30,2119843,342,0,"TBC"
"Slovenia","Slovenia",0,"2016-08-01","2016-08-07",7,2016,31,2119843,319,0,"TBC"
"Slovenia","Slovenia",0,"2016-08-08","2016-08-14",7,2016,32,2119843,326,0,"TBC"
"Slovenia","Slovenia",0,"2016-08-15","2016-08-21",7,2016,33,2119843,355,0,"TBC"
"Slovenia","Slovenia",0,"2016-08-22","2016-08-28",7,2016,34,2119843,343,0,"TBC"
"Slovenia","Slovenia",0,"2016-08-29","2016-09-04",7,2016,35,2119843,373,0,"TBC"
"Slovenia","Slovenia",0,"2016-09-05","2016-09-11",7,2016,36,2119843,332,0,"TBC"
"Slovenia","Slovenia",0,"2016-09-12","2016-09-18",7,2016,37,2119843,363,0,"TBC"
"Slovenia","Slovenia",0,"2016-09-19","2016-09-25",7,2016,38,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2016-09-26","2016-10-02",7,2016,39,2119843,355,0,"TBC"
"Slovenia","Slovenia",0,"2016-10-03","2016-10-09",7,2016,40,2119843,369,0,"TBC"
"Slovenia","Slovenia",0,"2016-10-10","2016-10-16",7,2016,41,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2016-10-17","2016-10-23",7,2016,42,2119843,375,0,"TBC"
"Slovenia","Slovenia",0,"2016-10-24","2016-10-30",7,2016,43,2119843,395,0,"TBC"
"Slovenia","Slovenia",0,"2016-10-31","2016-11-06",7,2016,44,2119843,341,0,"TBC"
"Slovenia","Slovenia",0,"2016-11-07","2016-11-13",7,2016,45,2119843,374,0,"TBC"
"Slovenia","Slovenia",0,"2016-11-14","2016-11-20",7,2016,46,2119843,381,0,"TBC"
"Slovenia","Slovenia",0,"2016-11-21","2016-11-27",7,2016,47,2119843,366,0,"TBC"
"Slovenia","Slovenia",0,"2016-11-28","2016-12-04",7,2016,48,2119843,357,0,"TBC"
"Slovenia","Slovenia",0,"2016-12-05","2016-12-11",7,2016,49,2119843,394,0,"TBC"
"Slovenia","Slovenia",0,"2016-12-12","2016-12-18",7,2016,50,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2016-12-19","2016-12-25",7,2016,51,2119843,413,0,"TBC"
"Slovenia","Slovenia",0,"2016-12-26","2017-01-01",7,2016,52,2119843,466,0,"TBC"
"Slovenia","Slovenia",0,"2017-01-02","2017-01-08",7,2017,1,2119843,479,0,"TBC"
"Slovenia","Slovenia",0,"2017-01-09","2017-01-15",7,2017,2,2119843,536,0,"TBC"
"Slovenia","Slovenia",0,"2017-01-16","2017-01-22",7,2017,3,2119843,586,0,"TBC"
"Slovenia","Slovenia",0,"2017-01-23","2017-01-29",7,2017,4,2119843,569,0,"TBC"
"Slovenia","Slovenia",0,"2017-01-30","2017-02-05",7,2017,5,2119843,599,0,"TBC"
"Slovenia","Slovenia",0,"2017-02-06","2017-02-12",7,2017,6,2119843,523,0,"TBC"
"Slovenia","Slovenia",0,"2017-02-13","2017-02-19",7,2017,7,2119843,466,0,"TBC"
"Slovenia","Slovenia",0,"2017-02-20","2017-02-26",7,2017,8,2119843,459,0,"TBC"
"Slovenia","Slovenia",0,"2017-02-27","2017-03-05",7,2017,9,2119843,439,0,"TBC"
"Slovenia","Slovenia",0,"2017-03-06","2017-03-12",7,2017,10,2119843,369,0,"TBC"
"Slovenia","Slovenia",0,"2017-03-13","2017-03-19",7,2017,11,2119843,397,0,"TBC"
"Slovenia","Slovenia",0,"2017-03-20","2017-03-26",7,2017,12,2119843,418,0,"TBC"
"Slovenia","Slovenia",0,"2017-03-27","2017-04-02",7,2017,13,2119843,413,0,"TBC"
"Slovenia","Slovenia",0,"2017-04-03","2017-04-09",7,2017,14,2119843,357,0,"TBC"
"Slovenia","Slovenia",0,"2017-04-10","2017-04-16",7,2017,15,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2017-04-17","2017-04-23",7,2017,16,2119843,385,0,"TBC"
"Slovenia","Slovenia",0,"2017-04-24","2017-04-30",7,2017,17,2119843,371,0,"TBC"
"Slovenia","Slovenia",0,"2017-05-01","2017-05-07",7,2017,18,2119843,355,0,"TBC"
"Slovenia","Slovenia",0,"2017-05-08","2017-05-14",7,2017,19,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2017-05-15","2017-05-21",7,2017,20,2119843,360,0,"TBC"
"Slovenia","Slovenia",0,"2017-05-22","2017-05-28",7,2017,21,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2017-05-29","2017-06-04",7,2017,22,2119843,371,0,"TBC"
"Slovenia","Slovenia",0,"2017-06-05","2017-06-11",7,2017,23,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2017-06-12","2017-06-18",7,2017,24,2119843,342,0,"TBC"
"Slovenia","Slovenia",0,"2017-06-19","2017-06-25",7,2017,25,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2017-06-26","2017-07-02",7,2017,26,2119843,334,0,"TBC"
"Slovenia","Slovenia",0,"2017-07-03","2017-07-09",7,2017,27,2119843,369,0,"TBC"
"Slovenia","Slovenia",0,"2017-07-10","2017-07-16",7,2017,28,2119843,328,0,"TBC"
"Slovenia","Slovenia",0,"2017-07-17","2017-07-23",7,2017,29,2119843,354,0,"TBC"
"Slovenia","Slovenia",0,"2017-07-24","2017-07-30",7,2017,30,2119843,328,0,"TBC"
"Slovenia","Slovenia",0,"2017-07-31","2017-08-06",7,2017,31,2119843,347,0,"TBC"
"Slovenia","Slovenia",0,"2017-08-07","2017-08-13",7,2017,32,2119843,319,0,"TBC"
"Slovenia","Slovenia",0,"2017-08-14","2017-08-20",7,2017,33,2119843,354,0,"TBC"
"Slovenia","Slovenia",0,"2017-08-21","2017-08-27",7,2017,34,2119843,350,0,"TBC"
"Slovenia","Slovenia",0,"2017-08-28","2017-09-03",7,2017,35,2119843,380,0,"TBC"
"Slovenia","Slovenia",0,"2017-09-04","2017-09-10",7,2017,36,2119843,339,0,"TBC"
"Slovenia","Slovenia",0,"2017-09-11","2017-09-17",7,2017,37,2119843,340,0,"TBC"
"Slovenia","Slovenia",0,"2017-09-18","2017-09-24",7,2017,38,2119843,364,0,"TBC"
"Slovenia","Slovenia",0,"2017-09-25","2017-10-01",7,2017,39,2119843,374,0,"TBC"
"Slovenia","Slovenia",0,"2017-10-02","2017-10-08",7,2017,40,2119843,398,0,"TBC"
"Slovenia","Slovenia",0,"2017-10-09","2017-10-15",7,2017,41,2119843,370,0,"TBC"
"Slovenia","Slovenia",0,"2017-10-16","2017-10-22",7,2017,42,2119843,376,0,"TBC"
"Slovenia","Slovenia",0,"2017-10-23","2017-10-29",7,2017,43,2119843,350,0,"TBC"
"Slovenia","Slovenia",0,"2017-10-30","2017-11-05",7,2017,44,2119843,385,0,"TBC"
"Slovenia","Slovenia",0,"2017-11-06","2017-11-12",7,2017,45,2119843,380,0,"TBC"
"Slovenia","Slovenia",0,"2017-11-13","2017-11-19",7,2017,46,2119843,393,0,"TBC"
"Slovenia","Slovenia",0,"2017-11-20","2017-11-26",7,2017,47,2119843,391,0,"TBC"
"Slovenia","Slovenia",0,"2017-11-27","2017-12-03",7,2017,48,2119843,362,0,"TBC"
"Slovenia","Slovenia",0,"2017-12-04","2017-12-10",7,2017,49,2119843,399,0,"TBC"
"Slovenia","Slovenia",0,"2017-12-11","2017-12-17",7,2017,50,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2017-12-18","2017-12-24",7,2017,51,2119843,397,0,"TBC"
"Slovenia","Slovenia",0,"2017-12-25","2017-12-31",7,2017,52,2119843,422,0,"TBC"
"Slovenia","Slovenia",0,"2018-01-01","2018-01-07",7,2018,1,2119843,401,0,"TBC"
"Slovenia","Slovenia",0,"2018-01-08","2018-01-14",7,2018,2,2119843,411,0,"TBC"
"Slovenia","Slovenia",0,"2018-01-15","2018-01-21",7,2018,3,2119843,398,0,"TBC"
"Slovenia","Slovenia",0,"2018-01-22","2018-01-28",7,2018,4,2119843,425,0,"TBC"
"Slovenia","Slovenia",0,"2018-01-29","2018-02-04",7,2018,5,2119843,457,0,"TBC"
"Slovenia","Slovenia",0,"2018-02-05","2018-02-11",7,2018,6,2119843,419,0,"TBC"
"Slovenia","Slovenia",0,"2018-02-12","2018-02-18",7,2018,7,2119843,490,0,"TBC"
"Slovenia","Slovenia",0,"2018-02-19","2018-02-25",7,2018,8,2119843,476,0,"TBC"
"Slovenia","Slovenia",0,"2018-02-26","2018-03-04",7,2018,9,2119843,512,0,"TBC"
"Slovenia","Slovenia",0,"2018-03-05","2018-03-11",7,2018,10,2119843,465,0,"TBC"
"Slovenia","Slovenia",0,"2018-03-12","2018-03-18",7,2018,11,2119843,479,0,"TBC"
"Slovenia","Slovenia",0,"2018-03-19","2018-03-25",7,2018,12,2119843,443,0,"TBC"
"Slovenia","Slovenia",0,"2018-03-26","2018-04-01",7,2018,13,2119843,431,0,"TBC"
"Slovenia","Slovenia",0,"2018-04-02","2018-04-08",7,2018,14,2119843,421,0,"TBC"
"Slovenia","Slovenia",0,"2018-04-09","2018-04-15",7,2018,15,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2018-04-16","2018-04-22",7,2018,16,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2018-04-23","2018-04-29",7,2018,17,2119843,400,0,"TBC"
"Slovenia","Slovenia",0,"2018-04-30","2018-05-06",7,2018,18,2119843,345,0,"TBC"
"Slovenia","Slovenia",0,"2018-05-07","2018-05-13",7,2018,19,2119843,367,0,"TBC"
"Slovenia","Slovenia",0,"2018-05-14","2018-05-20",7,2018,20,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2018-05-21","2018-05-27",7,2018,21,2119843,353,0,"TBC"
"Slovenia","Slovenia",0,"2018-05-28","2018-06-03",7,2018,22,2119843,366,0,"TBC"
"Slovenia","Slovenia",0,"2018-06-04","2018-06-10",7,2018,23,2119843,360,0,"TBC"
"Slovenia","Slovenia",0,"2018-06-11","2018-06-17",7,2018,24,2119843,338,0,"TBC"
"Slovenia","Slovenia",0,"2018-06-18","2018-06-24",7,2018,25,2119843,354,0,"TBC"
"Slovenia","Slovenia",0,"2018-06-25","2018-07-01",7,2018,26,2119843,317,0,"TBC"
"Slovenia","Slovenia",0,"2018-07-02","2018-07-08",7,2018,27,2119843,322,0,"TBC"
"Slovenia","Slovenia",0,"2018-07-09","2018-07-15",7,2018,28,2119843,318,0,"TBC"
"Slovenia","Slovenia",0,"2018-07-16","2018-07-22",7,2018,29,2119843,374,0,"TBC"
"Slovenia","Slovenia",0,"2018-07-23","2018-07-29",7,2018,30,2119843,364,0,"TBC"
"Slovenia","Slovenia",0,"2018-07-30","2018-08-05",7,2018,31,2119843,399,0,"TBC"
"Slovenia","Slovenia",0,"2018-08-06","2018-08-12",7,2018,32,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2018-08-13","2018-08-19",7,2018,33,2119843,337,0,"TBC"
"Slovenia","Slovenia",0,"2018-08-20","2018-08-26",7,2018,34,2119843,381,0,"TBC"
"Slovenia","Slovenia",0,"2018-08-27","2018-09-02",7,2018,35,2119843,365,0,"TBC"
"Slovenia","Slovenia",0,"2018-09-03","2018-09-09",7,2018,36,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2018-09-10","2018-09-16",7,2018,37,2119843,391,0,"TBC"
"Slovenia","Slovenia",0,"2018-09-17","2018-09-23",7,2018,38,2119843,382,0,"TBC"
"Slovenia","Slovenia",0,"2018-09-24","2018-09-30",7,2018,39,2119843,342,0,"TBC"
"Slovenia","Slovenia",0,"2018-10-01","2018-10-07",7,2018,40,2119843,390,0,"TBC"
"Slovenia","Slovenia",0,"2018-10-08","2018-10-14",7,2018,41,2119843,371,0,"TBC"
"Slovenia","Slovenia",0,"2018-10-15","2018-10-21",7,2018,42,2119843,371,0,"TBC"
"Slovenia","Slovenia",0,"2018-10-22","2018-10-28",7,2018,43,2119843,417,0,"TBC"
"Slovenia","Slovenia",0,"2018-10-29","2018-11-04",7,2018,44,2119843,393,0,"TBC"
"Slovenia","Slovenia",0,"2018-11-05","2018-11-11",7,2018,45,2119843,348,0,"TBC"
"Slovenia","Slovenia",0,"2018-11-12","2018-11-18",7,2018,46,2119843,392,0,"TBC"
"Slovenia","Slovenia",0,"2018-11-19","2018-11-25",7,2018,47,2119843,384,0,"TBC"
"Slovenia","Slovenia",0,"2018-11-26","2018-12-02",7,2018,48,2119843,406,0,"TBC"
"Slovenia","Slovenia",0,"2018-12-03","2018-12-09",7,2018,49,2119843,407,0,"TBC"
"Slovenia","Slovenia",0,"2018-12-10","2018-12-16",7,2018,50,2119843,422,0,"TBC"
"Slovenia","Slovenia",0,"2018-12-17","2018-12-23",7,2018,51,2119843,427,0,"TBC"
"Slovenia","Slovenia",0,"2018-12-24","2018-12-30",7,2018,52,2119843,421,0,"TBC"
"Slovenia","Slovenia",0,"2018-12-31","2019-01-06",7,2019,1,2119843,469,0,"TBC"
"Slovenia","Slovenia",0,"2019-01-07","2019-01-13",7,2019,2,2119843,488,0,"TBC"
"Slovenia","Slovenia",0,"2019-01-14","2019-01-20",7,2019,3,2119843,481,0,"TBC"
"Slovenia","Slovenia",0,"2019-01-21","2019-01-27",7,2019,4,2119843,477,0,"TBC"
"Slovenia","Slovenia",0,"2019-01-28","2019-02-03",7,2019,5,2119843,515,0,"TBC"
"Slovenia","Slovenia",0,"2019-02-04","2019-02-10",7,2019,6,2119843,507,0,"TBC"
"Slovenia","Slovenia",0,"2019-02-11","2019-02-17",7,2019,7,2119843,474,0,"TBC"
"Slovenia","Slovenia",0,"2019-02-18","2019-02-24",7,2019,8,2119843,480,0,"TBC"
"Slovenia","Slovenia",0,"2019-02-25","2019-03-03",7,2019,9,2119843,471,0,"TBC"
"Slovenia","Slovenia",0,"2019-03-04","2019-03-10",7,2019,10,2119843,411,0,"TBC"
"Slovenia","Slovenia",0,"2019-03-11","2019-03-17",7,2019,11,2119843,457,0,"TBC"
"Slovenia","Slovenia",0,"2019-03-18","2019-03-24",7,2019,12,2119843,426,0,"TBC"
"Slovenia","Slovenia",0,"2019-03-25","2019-03-31",7,2019,13,2119843,381,0,"TBC"
"Slovenia","Slovenia",0,"2019-04-01","2019-04-07",7,2019,14,2119843,412,0,"TBC"
"Slovenia","Slovenia",0,"2019-04-08","2019-04-14",7,2019,15,2119843,344,0,"TBC"
"Slovenia","Slovenia",0,"2019-04-15","2019-04-21",7,2019,16,2119843,402,0,"TBC"
"Slovenia","Slovenia",0,"2019-04-22","2019-04-28",7,2019,17,2119843,388,0,"TBC"
"Slovenia","Slovenia",0,"2019-04-29","2019-05-05",7,2019,18,2119843,367,0,"TBC"
"Slovenia","Slovenia",0,"2019-05-06","2019-05-12",7,2019,19,2119843,358,0,"TBC"
"Slovenia","Slovenia",0,"2019-05-13","2019-05-19",7,2019,20,2119843,393,0,"TBC"
"Slovenia","Slovenia",0,"2019-05-20","2019-05-26",7,2019,21,2119843,395,0,"TBC"
"Slovenia","Slovenia",0,"2019-05-27","2019-06-02",7,2019,22,2119843,344,0,"TBC"
"Slovenia","Slovenia",0,"2019-06-03","2019-06-09",7,2019,23,2119843,313,0,"TBC"
"Slovenia","Slovenia",0,"2019-06-10","2019-06-16",7,2019,24,2119843,345,0,"TBC"
"Slovenia","Slovenia",0,"2019-06-17","2019-06-23",7,2019,25,2119843,367,0,"TBC"
"Slovenia","Slovenia",0,"2019-06-24","2019-06-30",7,2019,26,2119843,331,0,"TBC"
"Slovenia","Slovenia",0,"2019-07-01","2019-07-07",7,2019,27,2119843,349,0,"TBC"
"Slovenia","Slovenia",0,"2019-07-08","2019-07-14",7,2019,28,2119843,327,0,"TBC"
"Slovenia","Slovenia",0,"2019-07-15","2019-07-21",7,2019,29,2119843,351,0,"TBC"
"Slovenia","Slovenia",0,"2019-07-22","2019-07-28",7,2019,30,2119843,407,0,"TBC"
"Slovenia","Slovenia",0,"2019-07-29","2019-08-04",7,2019,31,2119843,364,0,"TBC"
"Slovenia","Slovenia",0,"2019-08-05","2019-08-11",7,2019,32,2119843,380,0,"TBC"
"Slovenia","Slovenia",0,"2019-08-12","2019-08-18",7,2019,33,2119843,345,0,"TBC"
"Slovenia","Slovenia",0,"2019-08-19","2019-08-25",7,2019,34,2119843,385,0,"TBC"
"Slovenia","Slovenia",0,"2019-08-26","2019-09-01",7,2019,35,2119843,340,0,"TBC"
"Slovenia","Slovenia",0,"2019-09-02","2019-09-08",7,2019,36,2119843,333,0,"TBC"
"Slovenia","Slovenia",0,"2019-09-09","2019-09-15",7,2019,37,2119843,388,0,"TBC"
"Slovenia","Slovenia",0,"2019-09-16","2019-09-22",7,2019,38,2119843,342,0,"TBC"
"Slovenia","Slovenia",0,"2019-09-23","2019-09-29",7,2019,39,2119843,366,0,"TBC"
"Slovenia","Slovenia",0,"2019-09-30","2019-10-06",7,2019,40,2119843,379,0,"TBC"
"Slovenia","Slovenia",0,"2019-10-07","2019-10-13",7,2019,41,2119843,387,0,"TBC"
"Slovenia","Slovenia",0,"2019-10-14","2019-10-20",7,2019,42,2119843,383,0,"TBC"
"Slovenia","Slovenia",0,"2019-10-21","2019-10-27",7,2019,43,2119843,369,0,"TBC"
"Slovenia","Slovenia",0,"2019-10-28","2019-11-03",7,2019,44,2119843,333,0,"TBC"
"Slovenia","Slovenia",0,"2019-11-04","2019-11-10",7,2019,45,2119843,385,0,"TBC"
"Slovenia","Slovenia",0,"2019-11-11","2019-11-17",7,2019,46,2119843,404,0,"TBC"
"Slovenia","Slovenia",0,"2019-11-18","2019-11-24",7,2019,47,2119843,362,0,"TBC"
"Slovenia","Slovenia",0,"2019-11-25","2019-12-01",7,2019,48,2119843,359,0,"TBC"
"Slovenia","Slovenia",0,"2019-12-02","2019-12-08",7,2019,49,2119843,436,0,"TBC"
"Slovenia","Slovenia",0,"2019-12-09","2019-12-15",7,2019,50,2119843,444,0,"TBC"
"Slovenia","Slovenia",0,"2019-12-16","2019-12-22",7,2019,51,2119843,437,0,"TBC"
"Slovenia","Slovenia",0,"2019-12-23","2019-12-29",7,2019,52,2119843,396,0,"TBC"
"Slovenia","Slovenia",0,"2019-12-30","2020-01-05",7,2020,1,2119843,420,0,"TBC"
"Slovenia","Slovenia",0,"2020-01-06","2020-01-12",7,2020,2,2119843,426,0,"TBC"
"Slovenia","Slovenia",0,"2020-01-13","2020-01-19",7,2020,3,2119843,430,0,"TBC"
"Slovenia","Slovenia",0,"2020-01-20","2020-01-26",7,2020,4,2119843,455,0,"TBC"
"Slovenia","Slovenia",0,"2020-01-27","2020-02-02",7,2020,5,2119843,476,0,"TBC"
"Slovenia","Slovenia",0,"2020-02-03","2020-02-09",7,2020,6,2119843,449,0,"TBC"
"Slovenia","Slovenia",0,"2020-02-10","2020-02-16",7,2020,7,2119843,502,0,"TBC"
"Slovenia","Slovenia",0,"2020-02-17","2020-02-23",7,2020,8,2119843,441,0,"TBC"
"Slovenia","Slovenia",0,"2020-02-24","2020-03-01",7,2020,9,2119843,431,0,"TBC"
"Slovenia","Slovenia",0,"2020-03-02","2020-03-08",7,2020,10,2119843,425,0,"TBC"
"Slovenia","Slovenia",0,"2020-03-09","2020-03-15",7,2020,11,2119843,437,1,"TBC"
