"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Kazakhstan","Kazakhstan",0,"2015-01-01","2015-01-31",31,2015,1,19196465,11759,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-02-01","2015-02-28",28,2015,2,19196465,9504,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-03-01","2015-03-31",31,2015,3,19196465,10587,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-04-01","2015-04-30",30,2015,4,19196465,12051,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-05-01","2015-05-31",31,2015,5,19196465,10282,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-06-01","2015-06-30",30,2015,6,19196465,11336,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-07-01","2015-07-31",31,2015,7,19196465,12977,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-08-01","2015-08-31",31,2015,8,19196465,10127,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-09-01","2015-09-30",30,2015,9,19196465,10880,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-10-01","2015-10-31",31,2015,10,19196465,10473,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-11-01","2015-11-30",30,2015,11,19196465,10442,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2015-12-01","2015-12-31",31,2015,12,19196465,10434,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-01-01","2016-01-31",31,2016,1,19196465,12128,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-02-01","2016-02-29",29,2016,2,19196465,11136,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-03-01","2016-03-31",31,2016,3,19196465,11180,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-04-01","2016-04-30",30,2016,4,19196465,10564,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-05-01","2016-05-31",31,2016,5,19196465,11086,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-06-01","2016-06-30",30,2016,6,19196465,11128,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-07-01","2016-07-31",31,2016,7,19196465,10471,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-08-01","2016-08-31",31,2016,8,19196465,11111,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-09-01","2016-09-30",30,2016,9,19196465,10846,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-10-01","2016-10-31",31,2016,10,19196465,10596,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-11-01","2016-11-30",30,2016,11,19196465,11153,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2016-12-01","2016-12-31",31,2016,12,19196465,11017,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-01-01","2017-01-31",31,2017,1,19196465,12867,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-02-01","2017-02-28",28,2017,2,19196465,10475,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-03-01","2017-03-31",31,2017,3,19196465,10980,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-04-01","2017-04-30",30,2017,4,19196465,9994,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-05-01","2017-05-31",31,2017,5,19196465,11339,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-06-01","2017-06-30",30,2017,6,19196465,11039,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-07-01","2017-07-31",31,2017,7,19196465,10628,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-08-01","2017-08-31",31,2017,8,19196465,10755,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-09-01","2017-09-30",30,2017,9,19196465,10282,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-10-01","2017-10-31",31,2017,10,19196465,11020,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-11-01","2017-11-30",30,2017,11,19196465,10439,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2017-12-01","2017-12-31",31,2017,12,19196465,10218,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-01-01","2018-01-31",31,2018,1,19196465,11786,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-02-01","2018-02-28",28,2018,2,19196465,10527,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-03-01","2018-03-31",31,2018,3,19196465,11519,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-04-01","2018-04-30",30,2018,4,19196465,10963,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-05-01","2018-05-31",31,2018,5,19196465,11634,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-06-01","2018-06-30",30,2018,6,19196465,10333,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-07-01","2018-07-31",31,2018,7,19196465,11289,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-08-01","2018-08-31",31,2018,8,19196465,9963,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-09-01","2018-09-30",30,2018,9,19196465,10089,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-10-01","2018-10-31",31,2018,10,19196465,11363,0,"TBC"
"Kazakhstan","Kazakhstan",0,"2018-11-01","2018-11-30",30,2018,11,19196465,10780,0,"TBC"
