"country","region","region_code","start_date","end_date","days","year","month","population","total_deaths","covid_deaths","expected_deaths"
"Brazil","Brazil",0,"2015-01-01","2015-01-31",31,2015,1,213993441,106695,0,"TBC"
"Brazil","Brazil",0,"2015-02-01","2015-02-28",28,2015,2,213993441,90612,0,"TBC"
"Brazil","Brazil",0,"2015-03-01","2015-03-31",31,2015,3,213993441,102473,0,"TBC"
"Brazil","Brazil",0,"2015-04-01","2015-04-30",30,2015,4,213993441,105114,0,"TBC"
"Brazil","Brazil",0,"2015-05-01","2015-05-31",31,2015,5,213993441,114042,0,"TBC"
"Brazil","Brazil",0,"2015-06-01","2015-06-30",30,2015,6,213993441,109240,0,"TBC"
"Brazil","Brazil",0,"2015-07-01","2015-07-31",31,2015,7,213993441,112975,0,"TBC"
"Brazil","Brazil",0,"2015-08-01","2015-08-31",31,2015,8,213993441,107510,0,"TBC"
"Brazil","Brazil",0,"2015-09-01","2015-09-30",30,2015,9,213993441,103152,0,"TBC"
"Brazil","Brazil",0,"2015-10-01","2015-10-31",31,2015,10,213993441,104756,0,"TBC"
"Brazil","Brazil",0,"2015-11-01","2015-11-30",30,2015,11,213993441,100873,0,"TBC"
"Brazil","Brazil",0,"2015-12-01","2015-12-31",31,2015,12,213993441,106733,0,"TBC"
"Brazil","Brazil",0,"2016-01-01","2016-01-31",31,2016,1,213993441,106199,0,"TBC"
"Brazil","Brazil",0,"2016-02-01","2016-02-29",29,2016,2,213993441,102818,0,"TBC"
"Brazil","Brazil",0,"2016-03-01","2016-03-31",31,2016,3,213993441,111631,0,"TBC"
"Brazil","Brazil",0,"2016-04-01","2016-04-30",30,2016,4,213993441,112127,0,"TBC"
"Brazil","Brazil",0,"2016-05-01","2016-05-31",31,2016,5,213993441,115315,0,"TBC"
"Brazil","Brazil",0,"2016-06-01","2016-06-30",30,2016,6,213993441,117216,0,"TBC"
"Brazil","Brazil",0,"2016-07-01","2016-07-31",31,2016,7,213993441,118151,0,"TBC"
"Brazil","Brazil",0,"2016-08-01","2016-08-31",31,2016,8,213993441,111120,0,"TBC"
"Brazil","Brazil",0,"2016-09-01","2016-09-30",30,2016,9,213993441,102873,0,"TBC"
"Brazil","Brazil",0,"2016-10-01","2016-10-31",31,2016,10,213993441,107472,0,"TBC"
"Brazil","Brazil",0,"2016-11-01","2016-11-30",30,2016,11,213993441,99625,0,"TBC"
"Brazil","Brazil",0,"2016-12-01","2016-12-31",31,2016,12,213993441,105227,0,"TBC"
"Brazil","Brazil",0,"2017-01-01","2017-01-31",31,2017,1,213993441,105899,0,"TBC"
"Brazil","Brazil",0,"2017-02-01","2017-02-28",28,2017,2,213993441,97082,0,"TBC"
"Brazil","Brazil",0,"2017-03-01","2017-03-31",31,2017,3,213993441,108850,0,"TBC"
"Brazil","Brazil",0,"2017-04-01","2017-04-30",30,2017,4,213993441,107063,0,"TBC"
"Brazil","Brazil",0,"2017-05-01","2017-05-31",31,2017,5,213993441,114774,0,"TBC"
"Brazil","Brazil",0,"2017-06-01","2017-06-30",30,2017,6,213993441,114324,0,"TBC"
"Brazil","Brazil",0,"2017-07-01","2017-07-31",31,2017,7,213993441,122610,0,"TBC"
"Brazil","Brazil",0,"2017-08-01","2017-08-31",31,2017,8,213993441,114698,0,"TBC"
"Brazil","Brazil",0,"2017-09-01","2017-09-30",30,2017,9,213993441,107336,0,"TBC"
"Brazil","Brazil",0,"2017-10-01","2017-10-31",31,2017,10,213993441,109666,0,"TBC"
"Brazil","Brazil",0,"2017-11-01","2017-11-30",30,2017,11,213993441,102390,0,"TBC"
"Brazil","Brazil",0,"2017-12-01","2017-12-31",31,2017,12,213993441,107971,0,"TBC"
