"country","region","region_code","start_date","end_date","days","year","week","population","total_deaths","covid_deaths","expected_deaths"
"Spain","Andalusia",1,"2019-02-12","2019-02-17",6,2019,7,8405294,1366,0,1417
"Spain","Andalusia",1,"2019-02-19","2019-02-25",7,2019,8,8405294,1518,0,1606.5
"Spain","Andalusia",1,"2019-02-26","2019-03-04",7,2019,9,8405294,1556,0,1526.5
"Spain","Andalusia",1,"2019-03-05","2019-03-11",7,2019,10,8405294,1460,0,1487.5
"Spain","Andalusia",1,"2019-03-12","2019-03-18",7,2019,11,8405294,1357,0,1463.5
"Spain","Andalusia",1,"2019-03-19","2019-03-25",7,2019,12,8405294,1349,0,1435.5
"Spain","Andalusia",1,"2019-03-26","2019-04-01",7,2019,13,8405294,1386,0,1423.5
"Spain","Andalusia",1,"2019-04-02","2019-04-08",7,2019,14,8405294,1349,0,1382.5
"Spain","Andalusia",1,"2019-04-09","2019-04-15",7,2019,15,8405294,1392,0,1344.5
"Spain","Andalusia",1,"2019-04-16","2019-04-22",7,2019,16,8405294,1333,0,1325.5
"Spain","Andalusia",1,"2019-04-23","2019-04-29",7,2019,17,8405294,1335,0,1292.5
"Spain","Andalusia",1,"2019-04-30","2019-05-06",7,2019,18,8405294,1381,0,1286.5
"Spain","Andalusia",1,"2019-05-07","2019-05-13",7,2019,19,8405294,1335,0,1290.5
"Spain","Andalusia",1,"2019-05-14","2019-05-20",7,2019,20,8405294,1266,0,1283.5
"Spain","Andalusia",1,"2019-05-21","2019-05-27",7,2019,21,8405294,1268,0,1250.5
"Spain","Andalusia",1,"2019-05-28","2019-06-03",7,2019,22,8405294,1345,0,1219.5
"Spain","Andalusia",1,"2019-06-04","2019-06-10",7,2019,23,8405294,1204,0,1213.5
"Spain","Andalusia",1,"2019-06-11","2019-06-17",7,2019,24,8405294,1169,0,1222.5
"Spain","Andalusia",1,"2019-06-18","2019-06-24",7,2019,25,8405294,1196,0,1215.5
"Spain","Andalusia",1,"2019-06-25","2019-07-01",7,2019,26,8405294,1205,0,1240.5
"Spain","Andalusia",1,"2019-07-02","2019-07-08",7,2019,27,8405294,1243,0,1261.5
"Spain","Andalusia",1,"2019-07-09","2019-07-15",7,2019,28,8405294,1202,0,1268.5
"Spain","Andalusia",1,"2019-07-16","2019-07-22",7,2019,29,8405294,1193,0,1245.5
"Spain","Andalusia",1,"2019-07-23","2019-07-29",7,2019,30,8405294,1252,0,1218.5
"Spain","Andalusia",1,"2019-07-30","2019-08-05",7,2019,31,8405294,1195,0,1223.5
"Spain","Andalusia",1,"2019-08-06","2019-08-12",7,2019,32,8405294,1223,0,1260.5
"Spain","Andalusia",1,"2019-08-13","2019-08-19",7,2019,33,8405294,1211,0,1236.5
"Spain","Andalusia",1,"2019-08-20","2019-08-26",7,2019,34,8405294,1134,0,1206.5
"Spain","Andalusia",1,"2019-08-27","2019-09-02",7,2019,35,8405294,1182,0,1200.5
"Spain","Andalusia",1,"2019-09-03","2019-09-09",7,2019,36,8405294,1240,0,1173.5
"Spain","Andalusia",1,"2019-09-10","2019-09-16",7,2019,37,8405294,1177,0,1156.5
"Spain","Andalusia",1,"2019-09-17","2019-09-23",7,2019,38,8405294,1152,0,1157.5
"Spain","Andalusia",1,"2019-09-24","2019-09-30",7,2019,39,8405294,1099,0,1180.5
"Spain","Andalusia",1,"2019-10-01","2019-10-07",7,2019,40,8405294,1186,0,1189.5
"Spain","Andalusia",1,"2019-10-08","2019-10-14",7,2019,41,8405294,1303,0,1199.5
"Spain","Andalusia",1,"2019-10-15","2019-10-21",7,2019,42,8405294,1180,0,1207.5
"Spain","Andalusia",1,"2019-10-22","2019-10-28",7,2019,43,8405294,1295,0,1238.5
"Spain","Andalusia",1,"2019-10-29","2019-11-04",7,2019,44,8405294,1343,0,1226.5
"Spain","Andalusia",1,"2019-11-05","2019-11-11",7,2019,45,8405294,1278,0,1272.5
"Spain","Andalusia",1,"2019-11-12","2019-11-18",7,2019,46,8405294,1338,0,1309.5
"Spain","Andalusia",1,"2019-11-19","2019-11-25",7,2019,47,8405294,1381,0,1328.5
"Spain","Andalusia",1,"2019-11-26","2019-12-02",7,2019,48,8405294,1416,0,1381.5
"Spain","Andalusia",1,"2019-12-03","2019-12-09",7,2019,49,8405294,1345,0,1406.5
"Spain","Andalusia",1,"2019-12-10","2019-12-16",7,2019,50,8405294,1428,0,1424.5
"Spain","Andalusia",1,"2019-12-17","2019-12-23",7,2019,51,8405294,1392,0,1477.5
"Spain","Andalusia",1,"2019-12-24","2019-12-30",7,2019,52,8405294,1442,0,1511.5
"Spain","Andalusia",1,"2019-12-31","2019-12-31",1,2019,53,8405294,190,0,223
